candidate_id,enrollment_status,triage,clean_approval,stored_sha256,live_sha256,fingerprint_match,disk,eligible,skipped,solr,match,missing,stale,other,detail
"1180011","pending","SmallDrift","no","fa220a3e3d5e4aeab5f9d5e942f90009e0fc8924458f087f18793a860d716cb5","fa220a3e3d5e4aeab5f9d5e942f90009e0fc8924458f087f18793a860d716cb5","true",1,1,0,1,0,1,1,0,"Small live missing/stale set. Do not clean-approve; review reconciliation evidence individually."
"1180012","pending","SmallDrift","no","cb6498e36dffea3eca75aa616bcdfc479d76d962f705b803c7ad9bcff8828f6b","cb6498e36dffea3eca75aa616bcdfc479d76d962f705b803c7ad9bcff8828f6b","true",1,1,0,1,0,1,1,0,"Small live missing/stale set. Do not clean-approve; review reconciliation evidence individually."
"1180013","pending","CleanPending","yes","8b25db5411ad5cf7bee818dcb683645fc8c878f8d5cb588fe93b55b13a40892e","8b25db5411ad5cf7bee818dcb683645fc8c878f8d5cb588fe93b55b13a40892e","true",20,6,14,6,6,0,0,0,"Exact live fingerprint is unchanged and eligible disk/Solr state is fully matched. Eligible for individual Step 16 clean-only approval."
"1180014","pending","SmallDrift","no","357aeff150c6821a09f8155a640875b2b8374eda0dcda44c48f2330c50043fc2","357aeff150c6821a09f8155a640875b2b8374eda0dcda44c48f2330c50043fc2","true",1,1,0,1,0,1,1,0,"Small live missing/stale set. Do not clean-approve; review reconciliation evidence individually."
"1180015","pending","SmallDrift","no","7006234bc04a91c52135b3814b5693f1bb61c92a04adcc559f3ae3ce2ed476ec","7006234bc04a91c52135b3814b5693f1bb61c92a04adcc559f3ae3ce2ed476ec","true",1,1,0,1,0,1,1,0,"Small live missing/stale set. Do not clean-approve; review reconciliation evidence individually."
"1180016","pending","SmallDrift","no","36ee53ca256131bd4ca1e05fcf6096f16800fccc9d807f7feb69abb193c58321","36ee53ca256131bd4ca1e05fcf6096f16800fccc9d807f7feb69abb193c58321","true",1,1,0,2,0,1,2,0,"Small live missing/stale set. Do not clean-approve; review reconciliation evidence individually."
"1180017","pending","SmallDrift","no","db876811d8c9a3cfc06dc2ec6e0cfe5c7f2e19806798bd2bfcccf5c555b56a46","db876811d8c9a3cfc06dc2ec6e0cfe5c7f2e19806798bd2bfcccf5c555b56a46","true",1,1,0,2,0,1,2,0,"Small live missing/stale set. Do not clean-approve; review reconciliation evidence individually."
"1180018","pending","ModerateDrift","no","c98dd4289efe1dffbd5020126996332650404d23769e88fd987d519bd3f28f2f","c98dd4289efe1dffbd5020126996332650404d23769e88fd987d519bd3f28f2f","true",2,2,0,3,0,2,3,0,"Moderate live drift. Do not clean-approve; inspect missing/stale actions before any enrollment decision."
"1180019","pending","SmallDrift","no","06dd36f0c1f7696e6b5979fe87c98c0f718b8824166238c2832e406af0db0d91","06dd36f0c1f7696e6b5979fe87c98c0f718b8824166238c2832e406af0db0d91","true",2,2,0,1,1,1,0,0,"Small live missing/stale set. Do not clean-approve; review reconciliation evidence individually."
"1180020","pending","CleanPending","yes","a53bcba5e3186e758856b15ac7bda9aa38f4db05063576fc091fdde7740f4133","a53bcba5e3186e758856b15ac7bda9aa38f4db05063576fc091fdde7740f4133","true",1,1,0,1,1,0,0,0,"Exact live fingerprint is unchanged and eligible disk/Solr state is fully matched. Eligible for individual Step 16 clean-only approval."
"1180021","pending","SmallDrift","no","ea08fd8c4029ca9da4aece59e7c38d5ffcb101a7055c5770bc1cf9931fd56e8f","ea08fd8c4029ca9da4aece59e7c38d5ffcb101a7055c5770bc1cf9931fd56e8f","true",3,3,0,3,2,1,1,0,"Small live missing/stale set. Do not clean-approve; review reconciliation evidence individually."
"1180022","pending","SmallDrift","no","c57d4a9d49a7c5ff8f250e1b7295e373a8aabdffc72eb8a8407f37bc2b3b5f7b","c57d4a9d49a7c5ff8f250e1b7295e373a8aabdffc72eb8a8407f37bc2b3b5f7b","true",4,4,0,4,3,1,1,0,"Small live missing/stale set. Do not clean-approve; review reconciliation evidence individually."
"1180023","pending","ModerateDrift","no","1de9a740c4651b34b371a29aefbf7fb14d199261c3bf0302c0284967340f90aa","1de9a740c4651b34b371a29aefbf7fb14d199261c3bf0302c0284967340f90aa","true",4,4,0,6,2,2,4,0,"Moderate live drift. Do not clean-approve; inspect missing/stale actions before any enrollment decision."
"1180097","approved","Approved","no","eeb255eb8408c5569c23ecafa05be89c26e965076336f1897bab845c812064da","","",1,1,0,1,1,0,0,0,"Already approved; Step 16 clean-pending approval is not applicable."
